scientific_name;french_name;group_fr;IUCN;english_name;group_en;Guinea;Liberia;Cote_Ivoire;inaturalist
Indetermine;Espece indeterminee;NA;NA;Unknown;NA;y;y;y;
Kobus ellipsiprymnus defassa;Cobe defassa;Bovide;NT;Defassa waterbuck;Bovid;y;n;n;https://www.inaturalist.org/taxa/129888
Kobus kob;Cobe de Buffon;Bovide;LC;Kob;Bovid;y;n;n;https://www.inaturalist.org/taxa/147676
Leptailurus serval;Serval;Carnivore;LC;Serval;Carnivore;y;y;y;https://www.inaturalist.org/taxa/42025
Lepus victoriae;Lievre des savanes;Rongeur;LC;African savanna hare;Rodent;y;n;n;https://www.inaturalist.org/taxa/1558607
Lezard sp.;Lezard sp.;Reptile;NA;Lizard sp.;Reptile;y;y;y;
Liberiictis kuhni;Mangouste du Liberia;Carnivore;VU;Liberian mongoose;Carnivore;n;y;y;https://www.inaturalist.org/taxa/41917
Loutre sp.;Loutre sp.;Carnivore;NA;Otter sp.;Carnivore;y;y;y;
Loxodonta cyclotis;Elephant de foret;Elephantide;CR;African forest elephant;Elephant;y;y;y;https://www.inaturalist.org/taxa/357910
Lupulella adustus;Chacal a flancs rayes;Carnivore;LC;Side-striped jackal;Carnivore;y;n;n;https://www.inaturalist.org/taxa/1210965
Mangouste sp.;Mangouste sp.;Carnivore;NA;Mongoose sp.;Carnivore;y;y;y;
Manidae sp.;Pangolin sp.;Pangolin;NA;Pangolin sp.;Pangolin;y;y;y;
Mecistops cataphractus;Faux-gavial d'Afrique;Reptile;CR;Slender-snouted crocodile;Reptile;y;y;y;https://www.inaturalist.org/taxa/964788
Mellivora capensis;Ratel;Carnivore;LC;Honey badger;Carnivore;y;y;y;https://www.inaturalist.org/taxa/41834
Mungos gambianus;Mangouste de Gambie;Carnivore;LC;Gambian mongoose;Carnivore;y;y;y;https://www.inaturalist.org/taxa/41922
Mungos mungo;Mangouste rayee;Carnivore;LC;Banded mongoose;Carnivore;y;n;n;https://www.inaturalist.org/taxa/41921
Mus sp.;Souris sp.;Rongeur;NA;Mouse sp.;Rodent;y;y;y;
Musaraigne sp.;Musaraigne sp.;Rongeur;NA;Unidentified shrew;Rodent;n;y;y;
Myriapoda sp.;Millepatte;Autre;NA;Millipede;Other;n;y;y;
Video noire;Video noire;NA;NA;Black video;NA;y;y;y;
Illisible;Video illisible;NA;NA;Unreadable video;NA;y;y;y;
Video vide;Video vide;NA;NA;Empty video;NA;y;y;y;
Naja guineensis;Cobra de foret noir;Reptile;NE;Black forest cobra;Reptile;y;y;y;https://www.inaturalist.org/taxa/797731
Naja nigricollis;Cobra a cou noir;Reptile;LC;Black-necked spitting cobra;Squamata;y;y;y;https://www.inaturalist.org/taxa/30476
Naja savannula;Naja savannula;Reptile;LC;West African banded cobra;Reptile;y;y;y;https://www.inaturalist.org/taxa/797732
Nandinia binotata;Nandinie;Carnivore;LC;African palm civet;Carnivore;y;y;y;https://www.inaturalist.org/taxa/41582
